ZCTA,Total_Population,Male_Under_5,Male_5_to_9,Male_10_to_14,Male_15_to_17,Male_18_to_19,Male_22_to_24,Male_25_to_29,Male_30_to_34,Male_35_to_39,Male_40_to_44,Male_45_to_49,Male_50_to_54,Male_55_to_59,Male_60_to_61,Male_62_to_64,Male_65_to_66,Male_67_to_69,Male_70_to_74,Male_75_to_79,Male_80_to_84,Male_85_plus,Female_Under_5,Female_5_to_9,Female_10_to_14,Female_15_to_17,Female_18_to_19,Female_22_to_24,Female_25_to_29,Female_30_to_34,Female_35_to_39,Female_40_to_44,Female_45_to_49,Female_50_to_54,Female_55_to_59,Female_60_to_61,Female_62_to_64,Female_65_to_66,Female_67_to_69,Female_70_to_74,Female_75_to_79,Female_80_to_84,Female_85_plus,Total_Race,White_Alone,Black_Alone,AI_AN_Alone,Asian_Alone,NHPI_Alone,Other_Race_Alone,Two_or_More_Races,Total_Ethnicity,Not_Hispanic,Hispanic_Latino,Total_Education,Male_Less_9th,Male_Some_HS,Male_HS_Grad,Male_Some_College,Male_Associates,Male_Bachelors,Male_Graduate,Female_Less_9th,Female_Some_HS,Female_HS_Grad,Female_Some_College,Female_Associates,Female_Bachelors,Female_Graduate,Total_Employment,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Armed_Forces,Not_in_Labor_Force,Median_Household_Income,Per_Capita_Income,Total_Households,Population_Under_18,Population_18_to_64,Population_65_plus,Working_Age_25_54,Less_than_HS,HS_Grad_or_Equivalent,Some_College,Associates_Degree,Bachelors_or_Higher,Labor_Force_Participation_Rate,Unemployment_Rate,Pct_White,Pct_Black,Pct_Asian,Pct_Hispanic
75496,3462,81,115,108,92,9,44,79,74,51,135,29,68,62,62,108,32,34,211,75,24,10,80,145,96,75,41,55,62,86,110,97,189,106,87,46,96,21,103,213,35,36,43,3462,3132,111,22,0,0,112,85,3462,3138,324,2384,1054,6,0,0,60,38,15,16,20,387,109,118,125,103,2783,1625,1625,1583,42,0,1158,71250.0,31710.0,1224,792,1696,837,1086,1096,387,109,178,281,58.39,2.58,90.47,3.21,0.0,9.36
76001,38010,1086,1995,1942,739,310,381,1378,1019,927,1306,1049,1179,1055,683,396,646,513,438,281,154,82,1122,1521,1683,1280,696,791,1256,1103,1372,1335,1488,990,1172,708,940,300,541,512,308,112,174,38010,20080,9479,278,1836,563,3399,2375,38010,30199,7811,23417,11106,107,65,0,122,14,144,177,115,2565,801,1540,834,3248,28106,19369,19355,18423,932,14,8737,101311.0,37075.0,11522,11368,21534,4061,14402,11505,2630,801,1662,4240,68.91,4.82,52.83,24.94,4.83,20.55
76002,33076,858,1062,1424,987,565,791,783,925,1268,1040,1304,1150,926,579,329,102,85,256,172,32,8,1526,820,1655,928,597,582,1573,1545,963,1712,1410,1221,877,554,307,142,247,428,95,86,88,33076,11715,11778,88,4153,12,2245,3085,33076,25970,7106,20207,8959,474,8,9,31,170,27,23,183,2011,1014,1279,796,2187,25160,18907,18733,17300,1433,174,6253,102369.0,35793.0,9606,9260,21001,1741,14894,9639,2019,1023,1310,3180,75.15,7.65,35.42,35.61,12.56,21.48
76005,4899,257,342,251,129,43,82,139,182,172,142,419,164,90,79,78,28,69,48,17,13,0,101,67,254,50,50,28,109,187,350,106,238,88,154,0,96,47,27,49,67,24,0,4899,2518,491,0,1525,0,52,313,4899,4500,399,3182,1640,71,0,0,0,0,12,0,7,91,39,76,63,547,3627,2765,2765,2685,80,0,862,191250.0,72138.0,1596,1451,2996,389,2296,1718,91,39,76,622,76.23,2.89,51.4,10.02,31.13,8.14
76006,24072,476,568,553,306,266,612,1716,1141,1080,817,368,1213,593,231,276,118,428,269,130,65,0,1035,610,424,379,436,1034,1384,1280,575,809,767,903,632,520,194,254,119,498,81,133,38,24072,9259,9682,102,1421,0,855,2753,24072,18503,5569,16632,8445,79,0,191,10,114,60,49,128,1672,419,1779,761,2013,20199,16180,16169,15304,865,11,4019,56312.0,41181.0,12094,4351,16847,2133,12053,8701,1672,610,1789,2948,80.1,5.35,38.46,40.22,5.9,23.13
76008,23084,1068,1203,836,496,84,288,278,642,1132,966,639,890,632,312,381,204,255,355,277,94,178,815,829,1154,602,154,94,745,772,1242,893,623,675,638,318,336,215,212,533,251,213,62,23084,20621,234,114,209,16,557,1333,23084,20565,2519,14963,7235,25,0,90,0,0,10,0,20,1050,324,873,536,2552,16690,11551,11500,11237,263,51,5139,154054.0,58802.0,7536,7003,12734,2849,9497,7280,1050,414,873,3098,69.21,2.29,89.33,1.01,0.91,10.91
76009,19879,517,1184,465,459,83,442,492,719,660,709,764,552,604,319,255,253,472,362,299,74,61,673,604,689,499,348,547,734,509,700,413,661,548,901,188,252,205,214,397,275,159,50,19879,15597,759,60,46,0,1267,2150,19879,12090,7789,12801,6595,292,55,105,214,148,208,179,360,2741,267,685,613,438,15381,9033,9033,8781,252,0,6348,71996.0,28670.0,6474,5090,11400,2821,7461,7426,2796,372,899,1407,58.73,2.79,78.46,3.82,0.23,39.18
76010,57197,2546,2611,2254,1425,1056,1988,2387,2433,1946,1892,2253,833,1458,496,519,470,312,443,472,121,147,2352,2357,2586,1240,1559,1511,1887,2158,2150,1569,1590,1189,1123,331,445,540,246,571,423,328,222,57197,17626,9911,445,2558,563,10061,16033,57197,22959,34238,30954,16182,790,349,1467,594,1464,646,629,846,4639,532,1387,1075,1230,41495,27646,27569,25678,1891,77,13849,42571.0,18427.0,18520,17371,32773,4295,22287,18447,4988,1999,1981,4415,66.62,6.86,30.82,17.33,4.47,59.86
76011,22529,1094,734,661,316,115,759,1602,1306,961,783,571,638,381,149,307,123,206,254,87,83,48,552,868,554,368,166,489,1727,1233,758,724,444,551,592,146,222,143,221,409,221,131,101,22529,9308,7748,53,495,0,1549,3376,22529,14048,8481,15122,7499,138,173,233,191,331,84,176,192,1469,472,1175,739,1385,17857,13268,13268,12543,725,0,4589,50200.0,30267.0,10211,5147,14624,2027,11298,8005,1642,705,1366,2539,74.3,5.46,41.32,34.39,2.2,37.64
76012,27769,848,852,1153,375,287,580,1010,1045,740,624,583,776,1098,315,385,352,407,443,522,398,343,749,1072,554,489,281,622,725,680,889,1177,921,1130,871,274,536,361,593,644,610,381,497,27769,16848,3973,10,687,92,1111,5048,27769,19226,8543,19330,9041,54,13,118,80,78,95,189,93,1941,616,1389,641,2200,22261,14308,14245,13940,305,63,7953,80972.0,44000.0,10722,6092,15549,5551,10300,9377,1954,734,1469,3014,64.27,2.14,60.67,14.31,2.47,30.76
76013,35535,985,1175,1148,332,791,841,1995,1229,956,900,904,716,989,387,293,449,380,548,354,169,227,831,1089,1016,582,1221,1617,1482,1366,1033,976,758,1044,853,539,572,375,358,547,514,420,704,35535,23057,5061,192,2806,0,1587,2832,35535,29519,6016,22037,10496,6,52,104,81,127,161,127,151,2267,706,1421,833,2716,28914,19140,19140,18018,1122,0,9774,64585.0,34266.0,13274,7158,21462,5045,13359,10780,2319,810,1502,3837,66.2,5.86,64.89,14.24,7.9,16.93
76014,32805,1236,1546,1443,867,654,707,1244,1485,1033,887,1084,1177,640,351,253,610,314,379,234,106,147,1180,1083,1353,553,501,741,1262,1408,1400,1053,659,1040,733,296,628,306,325,366,213,105,247,32805,9771,8453,144,2816,69,5574,5978,32805,19091,13714,19985,9944,601,203,340,545,315,121,211,453,3056,830,1179,362,1301,24653,16647,16576,15608,968,71,8006,60894.0,24524.0,10687,9261,19236,3352,13732,11209,3259,1170,1724,2099,67.53,5.84,29.79,25.77,8.58,41.8
76015,17474,517,566,567,288,321,418,970,879,417,417,359,461,617,269,110,139,207,273,108,167,38,766,514,584,427,130,474,946,707,523,479,541,437,560,201,274,80,258,360,206,130,200,17474,8792,3587,48,1066,56,1602,2323,17474,12721,4753,11333,5431,197,27,15,22,28,10,99,127,1493,432,1051,365,1141,13645,9648,9610,9076,534,38,3997,69805.0,31939.0,6358,4229,10510,2166,7136,5854,1520,447,1073,1544,70.71,5.56,50.31,20.53,6.1,27.2
76016,31079,896,1051,1048,617,569,427,695,944,1022,1035,1144,866,1272,324,589,249,479,791,554,265,150,612,953,1006,527,361,660,768,889,753,1307,1142,989,914,584,748,281,637,998,577,219,348,31079,21369,3593,45,1620,152,1068,3232,31079,26192,4887,21533,10379,69,38,11,77,70,20,107,110,2211,706,2031,771,2769,25224,16312,16287,15288,999,25,8912,103605.0,42868.0,10903,6710,18002,5548,11554,10665,2249,717,2108,3630,64.67,6.13,68.76,11.56,5.21,15.72
76017,46361,1010,1390,1491,1040,1309,1005,1925,1731,1195,1738,1402,1297,1532,569,802,527,518,842,498,183,154,1025,1155,1593,1300,864,1087,1229,1362,1448,1733,1897,1320,1617,743,855,616,708,1311,624,378,251,46361,26844,9853,253,2969,20,2358,4064,46361,38296,8065,31005,14913,515,42,18,77,44,137,39,180,3420,1337,2536,1627,3554,37682,26630,26630,25257,1373,0,11052,89930.0,39372.0,15895,10004,28660,6610,18277,15647,3462,1355,2613,5362,70.67,5.16,57.9,21.25,6.4,17.4
76018,27827,837,944,1308,1301,311,729,1130,1018,555,952,785,963,624,353,281,278,181,261,122,50,13,1017,1240,737,763,509,777,1076,833,952,1452,1112,1001,499,474,493,101,389,236,166,264,50,27827,11296,6536,371,5051,0,1923,2650,27827,19022,8805,16664,7566,404,54,53,22,135,64,164,413,2094,696,1277,441,1351,21371,16042,16042,15244,798,0,5329,83815.0,30043.0,8268,8147,16879,2111,11829,8547,2148,749,1299,1991,75.06,4.97,40.59,23.49,18.15,31.64
76020,32937,1179,1253,944,898,351,459,1023,1021,957,935,1391,880,1350,649,617,395,305,704,411,135,174,1130,734,1192,522,306,631,1113,1072,1194,1071,970,1352,971,681,741,427,376,640,597,494,209,32937,28542,342,116,159,0,966,2812,32937,27384,5553,22855,10947,204,58,40,336,106,183,285,265,3151,838,1990,1209,1722,26106,16925,16849,16233,616,76,9181,87923.0,38906.0,12132,7852,19735,4867,12979,11701,3209,878,2326,3220,64.83,3.66,86.66,1.04,0.48,16.86
76021,34858,1041,964,1067,819,111,829,1403,1501,1546,1037,1122,910,1210,576,579,300,471,767,507,156,238,1209,881,673,424,242,462,1125,1411,1359,1048,1083,1150,1205,456,798,351,625,903,584,477,295,34858,24611,2988,180,2071,173,757,4078,34858,29473,5385,25193,12323,64,27,0,30,36,7,83,204,2041,1092,1992,1207,3735,28574,20226,20214,19233,981,12,8348,84539.0,45338.0,14761,7078,21163,5674,14695,12674,2068,1092,2022,4985,70.78,4.85,70.6,8.57,5.94,15.45
76022,14632,709,384,446,198,182,242,396,402,571,466,297,511,322,266,119,114,161,241,153,157,54,579,632,149,390,291,156,646,506,551,456,550,500,381,194,315,147,163,202,303,340,259,14632,8476,2872,15,1023,0,905,1341,14632,11209,3423,9743,4230,38,0,0,6,76,171,25,25,960,569,714,552,868,11568,7847,7847,7595,252,0,3721,70286.0,33250.0,5709,3487,8320,2294,5852,4318,960,569,720,1667,67.83,3.21,57.93,19.63,6.99,23.39
76023,7227,137,189,391,176,81,101,186,249,189,226,195,242,214,249,206,134,117,129,94,22,8,221,196,197,123,85,161,246,210,231,96,334,185,233,306,146,96,201,112,65,25,42,7227,6720,22,26,0,0,210,249,7227,6597,630,4988,2460,39,10,10,62,71,89,7,34,898,252,440,105,421,5871,3932,3932,3862,70,0,1939,83750.0,35786.0,2491,1630,4371,1045,2589,2540,908,262,502,686,66.97,1.78,92.98,0.3,0.0,8.72
76028,76343,2573,2855,3120,1924,773,1092,1928,2169,3186,2512,2765,2613,2477,677,1148,689,1099,1126,644,606,363,2329,3142,3313,1585,650,1109,2594,2253,3437,2954,2008,2591,2320,972,1019,1016,883,1600,904,869,848,76343,60819,4297,207,1229,3,2078,7710,76343,61225,15118,50270,24002,220,0,361,161,196,473,239,565,6731,2080,4246,2133,4306,57829,38833,38743,37422,1321,90,18996,93314.0,39178.0,26150,20841,43247,10647,31010,25026,6731,2441,4407,7108,67.15,3.41,79.67,5.63,1.61,19.8
76031,18108,376,554,993,483,298,442,590,508,551,791,454,776,677,126,275,153,382,294,281,66,71,648,556,629,463,454,181,417,594,592,464,499,475,737,267,386,113,284,314,263,133,73,18108,15540,578,70,88,23,654,1155,18108,13145,4963,11606,5995,215,252,177,124,121,256,134,120,2486,369,808,256,481,14034,8102,8102,7681,421,0,5932,68203.0,25764.0,5858,4702,10554,2427,6711,6464,2738,546,932,1114,57.73,5.2,85.82,3.19,0.49,27.41
76033,27664,1267,938,922,798,458,433,1159,800,746,970,855,539,1182,310,510,257,239,467,501,314,186,1001,759,798,291,338,363,855,958,754,916,719,824,946,383,370,359,455,623,498,497,471,27664,21318,1385,242,211,0,1175,3333,27664,21108,6556,18663,9035,114,97,104,99,77,102,372,266,3520,824,1168,741,1052,21672,13225,13208,12919,289,17,8447,65488.0,32505.0,10340,6774,15388,4867,10095,9787,3617,928,1267,1972,61.02,2.19,77.06,5.01,0.76,23.7
76034,25793,565,908,1355,900,373,281,445,395,521,878,1037,1143,899,734,469,545,482,909,272,305,110,482,614,858,356,189,97,295,324,557,874,1183,1209,1256,713,583,236,459,837,388,240,142,25793,20571,998,74,1944,0,124,2082,25793,23709,2084,18440,9144,0,21,0,0,0,0,0,0,518,305,914,617,4027,20472,13087,13087,12596,491,0,7385,196034.0,91570.0,9225,6038,14455,4925,8861,9144,539,305,914,4644,63.93,3.75,79.75,3.87,7.54,8.08
76035,3101,114,73,302,127,20,25,21,91,218,109,32,117,62,23,110,29,63,47,2,69,1,128,114,79,70,49,67,46,94,169,31,45,69,94,83,43,45,41,50,39,13,0,3101,2418,352,2,14,0,80,235,3101,2865,236,1856,994,11,0,44,2,4,3,1,76,245,86,161,84,214,2209,1439,1435,1424,11,4,770,112983.0,42204.0,959,1007,1618,399,1042,1082,245,130,163,305,65.14,0.77,77.97,11.35,0.45,7.61
76036,30489,813,1086,1753,1027,673,381,1048,946,1042,1091,694,1012,702,246,333,225,567,440,255,298,99,981,886,1113,685,691,463,954,1153,1348,956,1133,754,923,207,431,172,297,846,533,307,123,30489,17628,6338,119,581,0,1114,4709,30489,21683,8806,19135,8998,122,18,67,74,43,328,87,115,2627,517,1747,801,1796,23071,15429,15264,14459,805,165,7642,89393.0,35509.0,9920,8344,17181,4162,12131,9322,2645,584,1821,2968,66.88,5.27,57.82,20.79,1.91,28.88
76039,41045,922,1528,1295,932,420,1519,2043,2120,1575,1427,1526,1065,1051,604,827,222,261,569,399,154,50,1256,773,1706,712,248,935,1749,2273,1562,1629,966,1602,955,466,474,321,541,786,488,141,204,41045,21413,6620,354,5439,447,1982,4790,41045,33977,7068,28050,13893,247,5,43,35,277,62,38,164,2611,770,2299,1511,3819,32915,25857,25857,24478,1379,0,7058,80176.0,42469.0,17107,9124,27036,4136,19537,14342,2616,813,2334,5669,78.56,5.33,52.17,16.13,13.25,17.22
76040,30708,1332,1094,1146,481,453,519,1185,1189,959,932,1354,811,1311,342,422,131,281,403,246,182,118,1207,1269,926,534,306,635,1355,1328,1021,1127,892,1182,888,381,312,102,444,556,234,65,150,30708,13761,6961,48,4221,493,1132,4092,30708,23833,6875,19903,9866,96,29,200,131,51,115,71,229,2449,637,2189,808,2069,23393,17215,17215,16472,743,0,6178,65698.0,31743.0,11654,7989,18904,2912,13335,10262,2478,837,2320,3043,73.59,4.32,44.81,22.67,13.75,22.39
